trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3729,False,"{'a': 0.001, 'e': 0.024040869526060712}",30,17,19.890732182566484,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3730,False,"{'a': 0.001, 'e': 0.024016840672963606}",30,22,11.158630197646845,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3731,False,"{'a': 0.001, 'e': 0.023992835836709175}",25,7,32.675544581790554,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3732,False,"{'a': 0.001, 'e': 0.023968854993292581}",20,10,18.935942119016133,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3733,False,"{'a': 0.001, 'e': 0.023944898118732967}",30,22,16.70327612791074,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3734,False,"{'a': 0.001, 'e': 0.023920965189073478}",20,4,24.58470564358469,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3735,False,"{'a': 0.001, 'e': 0.023897056180381168}",25,11,1.0845524682689909,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
3736,False,"{'a': 0.001, 'e': 0.023873171068747034}",30,4,33.101337845291994,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
3737,False,"{'a': 0.001, 'e': 0.023849309830285947}",30,10,35.281695743043514,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3738,False,"{'a': 0.001, 'e': 0.023825472441136687}",35,21,-16.42911720701746,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
3739,False,"{'a': 0.001, 'e': 0.023801658877461853}",20,15,9.522129967465197,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3740,False,"{'a': 0.001, 'e': 0.023777869115447881}",25,13,17.617877361529153,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3741,False,"{'a': 0.001, 'e': 0.023754103131304997}",20,9,19.427450353105847,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3742,False,"{'a': 0.001, 'e': 0.02373036090126723}",25,11,25.90054602853216,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3743,False,"{'a': 0.001, 'e': 0.023706642401592346}",30,6,37.33421379918403,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
3744,False,"{'a': 0.001, 'e': 0.023682947608561836}",25,17,13.834098401984853,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3745,False,"{'a': 0.001, 'e': 0.023659276498480899}",20,12,18.031478272176898,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3746,False,"{'a': 0.001, 'e': 0.023635629047678443}",20,16,9.456652511332885,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3747,False,"{'a': 0.001, 'e': 0.023612005232507005}",30,13,19.42753613005611,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
3748,False,"{'a': 0.001, 'e': 0.023588405029342768}",25,2,37.644488747014464,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
3749,False,"{'a': 0.001, 'e': 0.023564828414585511}",30,16,23.154932040078542,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3750,False,"{'a': 0.001, 'e': 0.023541275364658647}",20,0,29.501915829678463,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3751,False,"{'a': 0.001, 'e': 0.023517745856009107}",25,11,26.939081656131403,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3752,False,"{'a': 0.001, 'e': 0.023494239865107385}",20,7,22.810373786831533,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3753,False,"{'a': 0.001, 'e': 0.023470757368447476}",25,9,32.37022361824331,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3754,False,"{'a': 0.001, 'e': 0.023447298342546899}",20,10,8.426157112044034,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
3755,False,"{'a': 0.001, 'e': 0.023423862763946618}",30,0,46.97573059822221,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
3756,False,"{'a': 0.001, 'e': 0.023400450609211056}",25,10,27.09882267551044,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3757,False,"{'a': 0.001, 'e': 0.023377061854928043}",30,16,26.42050781614209,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3758,False,"{'a': 0.001, 'e': 0.023353696477708841}",20,16,8.913362613818222,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3759,False,"{'a': 0.001, 'e': 0.023330354454188063}",25,18,13.639754901884185,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3760,False,"{'a': 0.001, 'e': 0.023307035761023685}",30,24,12.340305161162057,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3761,False,"{'a': 0.001, 'e': 0.023283740374897}",20,0,30.805477466415155,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3762,False,"{'a': 0.001, 'e': 0.023260468272512637}",35,21,28.043836882092133,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3763,False,"{'a': 0.001, 'e': 0.023237219430598487}",25,14,22.235183477887947,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3764,False,"{'a': 0.001, 'e': 0.023213993825905707}",20,12,16.44559723110863,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3765,False,"{'a': 0.001, 'e': 0.023190791435208673}",25,19,10.106090782240953,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3766,False,"{'a': 0.001, 'e': 0.023167612235305019}",25,16,16.56931286318276,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3767,False,"{'a': 0.001, 'e': 0.023144456203015532}",30,12,35.31811052108677,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3768,False,"{'a': 0.001, 'e': 0.023121323315184173}",20,7,22.866519941827804,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3769,False,"{'a': 0.001, 'e': 0.02309821354867805}",20,12,15.685328790722275,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3770,False,"{'a': 0.001, 'e': 0.023075126880387407}",20,15,9.358724306109332,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3771,False,"{'a': 0.001, 'e': 0.023052063287225571}",20,16,5.594350797958267,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3772,False,"{'a': 0.001, 'e': 0.02302902274612894}",30,23,14.407399468487327,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3773,False,"{'a': 0.001, 'e': 0.023006005234056964}",35,27,17.404713858347268,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3774,False,"{'a': 0.001, 'e': 0.022983010727992151}",25,8,31.6328289754507,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3775,False,"{'a': 0.001, 'e': 0.022960039204939983}",20,15,11.274729850884691,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3776,False,"{'a': 0.001, 'e': 0.02293709064192893}",30,21,17.849118608885394,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3777,False,"{'a': 0.001, 'e': 0.022914165016010422}",25,15,16.593999646949783,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3778,False,"{'a': 0.001, 'e': 0.02289126230425885}",25,19,12.970528089357483,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3779,False,"{'a': 0.001, 'e': 0.022868382483771488}",20,14,12.472476895166302,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3780,False,"{'a': 0.001, 'e': 0.022845525531668517}",20,12,17.655972624615277,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3781,False,"{'a': 0.001, 'e': 0.02282269142509297}",20,10,15.399428389716206,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3782,False,"{'a': 0.001, 'e': 0.02279988014121076}",20,0,31.5046008970939,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3783,False,"{'a': 0.001, 'e': 0.022777091657210594}",25,9,30.483081267333606,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3784,False,"{'a': 0.001, 'e': 0.02275432595030398}",25,20,8.90677512237467,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3785,False,"{'a': 0.001, 'e': 0.022731582997725205}",25,13,21.218524954514397,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3786,False,"{'a': 0.001, 'e': 0.022708862776731332}",25,15,20.57286308104496,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3787,False,"{'a': 0.001, 'e': 0.022686165264602126}",30,0,52.58145685846807,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
3788,False,"{'a': 0.001, 'e': 0.022663490438640077}",25,0,24.62698284537943,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
3789,False,"{'a': 0.001, 'e': 0.022640838276170343}",35,23,21.3556724626302,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3790,False,"{'a': 0.001, 'e': 0.022618208754540785}",20,11,14.87664922478051,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3791,False,"{'a': 0.001, 'e': 0.022595601851121864}",30,10,33.46299461902889,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3792,False,"{'a': 0.001, 'e': 0.022573017543306678}",20,2,27.65439027353282,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3793,False,"{'a': 0.001, 'e': 0.022550455808510905}",25,9,29.067410573799787,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3794,False,"{'a': 0.001, 'e': 0.02252791662417283}",30,19,23.664716649146005,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3795,False,"{'a': 0.001, 'e': 0.022505399967753258}",25,14,-1.428165655383438,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
3796,False,"{'a': 0.001, 'e': 0.022482905816735531}",20,14,9.860041747697702,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3797,False,"{'a': 0.001, 'e': 0.022460434148625481}",30,22,13.166569241883733,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3798,False,"{'a': 0.001, 'e': 0.02243798494095146}",20,11,17.277637034569125,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3799,False,"{'a': 0.001, 'e': 0.022415558171264255}",35,18,31.90499938651104,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3800,False,"{'a': 0.001, 'e': 0.022393153817137086}",25,0,35.25146390761453,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
3801,False,"{'a': 0.001, 'e': 0.022370771856165591}",25,16,14.488975607426136,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3802,False,"{'a': 0.001, 'e': 0.022348412265967826}",20,15,9.766468407989834,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3803,False,"{'a': 0.001, 'e': 0.022326075024184187}",20,10,17.990172047317746,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3804,False,"{'a': 0.001, 'e': 0.022303760108477434}",25,11,18.720518727192395,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
3805,False,"{'a': 0.001, 'e': 0.022281467496532641}",30,11,18.80930550703316,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
3806,False,"{'a': 0.001, 'e': 0.022259197166057211}",20,11,11.400885043308195,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3807,False,"{'a': 0.001, 'e': 0.0222369490947808}",30,17,27.00733724504164,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3808,False,"{'a': 0.001, 'e': 0.022214723260455337}",20,0,25.64703521077091,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
3809,False,"{'a': 0.001, 'e': 0.022192519640854974}",20,16,7.332292495815043,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3810,False,"{'a': 0.001, 'e': 0.022170338213776113}",30,22,15.87673561539554,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3811,False,"{'a': 0.001, 'e': 0.022148178957037315}",25,8,26.79768582452802,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3812,False,"{'a': 0.001, 'e': 0.022126041848479317}",20,9,17.701647090201114,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3813,False,"{'a': 0.001, 'e': 0.022103926865965004}",20,15,7.665143907088325,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3814,False,"{'a': 0.001, 'e': 0.022081833987379406}",25,19,11.994145286375215,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3815,False,"{'a': 0.001, 'e': 0.022059763190629637}",30,6,43.00711871688408,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
3816,False,"{'a': 0.001, 'e': 0.022037714453644896}",25,9,32.43524389930057,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3817,False,"{'a': 0.001, 'e': 0.022015687754376439}",30,11,37.65183301531437,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3818,False,"{'a': 0.001, 'e': 0.021993683070797576}",20,11,16.92470822529314,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3819,False,"{'a': 0.001, 'e': 0.021971700380903618}",20,7,25.61766949824657,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3820,False,"{'a': 0.001, 'e': 0.021949739662711874}",20,10,17.17545097846412,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3821,False,"{'a': 0.001, 'e': 0.02192780089426161}",20,12,14.381715497515316,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3822,False,"{'a': 0.001, 'e': 0.021905884053614079}",30,17,12.648496235406633,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
3823,False,"{'a': 0.001, 'e': 0.021883989118852424}",20,11,16.33931787076222,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3824,False,"{'a': 0.001, 'e': 0.021862116068081715}",30,21,13.5949127026415,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3825,False,"{'a': 0.001, 'e': 0.021840264879428885}",20,16,7.5235730681249775,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3826,False,"{'a': 0.001, 'e': 0.021818435531042762}",20,14,-9.809516103863032,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
3827,False,"{'a': 0.001, 'e': 0.021796628001093991}",20,10,16.383522705655928,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3828,False,"{'a': 0.001, 'e': 0.021774842267775037}",20,13,11.641558002417895,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3829,False,"{'a': 0.001, 'e': 0.021753078309300157}",25,7,27.393523632417445,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3830,False,"{'a': 0.001, 'e': 0.021731336103905406}",20,9,18.74463540283294,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3831,False,"{'a': 0.001, 'e': 0.021709615629848571}",30,7,40.35691242566857,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
3832,False,"{'a': 0.001, 'e': 0.021687916865409173}",25,13,22.032103195681703,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
